time,_block_jacobian_check,_block_jacobian_check_tol,_block_solver_experimental_mode,_block_solver_profiling,_cs_experimental_mode,_cs_rel_tol,_cs_solver,_cs_step_size,_enforce_bounds,_events_default_tol,_events_tol_factor,_iteration_variable_scaling,_le_sparse_jacobian_threshold,_log_level,_nle_active_bounds_mode,_nle_brent_ignore_error,_nle_jacobian_calculation_mode,_nle_jacobian_finite_difference_delta,_nle_jacobian_update_mode,_nle_solver_check_jac_cond,_nle_solver_default_tol,_nle_solver_exit_criterion,_nle_solver_max_iter,_nle_solver_max_iter_no_jacobian,_nle_solver_max_residual_scaling_factor,_nle_solver_min_residual_scaling_factor,_nle_solver_min_tol,_nle_solver_regularization_tolerance,_nle_solver_step_limit_factor,_nle_solver_tol_factor,_nle_solver_use_last_integrator_step,_nle_solver_use_nominals_as_fallback,_rescale_after_singular_jac,_rescale_each_step,_residual_equation_scaling,_runtime_log_to_file,_time_events_default_tol,_use_Brent_in_1d,_use_jacobian_equilibration,_use_newton_for_brent,a,altitude,der(altitude),earth_moon_distance,earth_sun_distance,g,gravity,mass,der(mass),massLossRate,mass_earth,mass_moon,mass_sun,radius_earth,radius_moon,radius_sun,thrust,v,velocity,der(velocity)
0,0,1e-06,0,0,0,1e-06,1,0.001,1,1e-10,0.0001,1,-1,3,0,0,0,1.490116119384766e-08,2,0,1e-10,3,100,10,10000000000,1e-10,1e-12,-1,10,0.0001,1,1,1,0,1,0,2.220446049250313e-14,1,0,1,60000,60000,-2000,384400000,1499822700000000,6.672e-11,-1.525726300005082,75000,-0,2.77e-05,5.972e+24,7.38e+22,1.9891e+30,6371000,1738000,696000000,0,-2000,-2000,-1.525726300005082
0.1,0,1e-06,0,0,0,1e-06,1,0.001,1,1e-10,0.0001,1,-1,3,0,0,0,1.490116119384766e-08,2,0,1e-10,3,100,10,10000000000,1e-10,1e-12,-1,10,0.0001,1,1,1,0,1,0,2.220446049250313e-14,1,0,1,59799.99244710685,59799.99244710685,-2000.152589405057,384400000,1499822700000000,6.672e-11,-1.526065213432258,75000,-0,2.77e-05,5.972e+24,7.38e+22,1.9891e+30,6371000,1738000,696000000,0,-2000.152589405057,-2000.152589405057,-1.526065213432258
0.2,0,1e-06,0,0,0,1e-06,1,0.001,1,1e-10,0.0001,1,-1,3,0,0,0,1.490116119384766e-08,2,0,1e-10,3,100,10,10000000000,1e-10,1e-12,-1,10,0.0001,1,1,1,0,1,0,2.220446049250313e-14,1,0,1,59599.96963359533,59599.96963359533,-2000.305212708339,384400000,1499822700000000,6.672e-11,-1.526404265864984,75000,-0,2.77e-05,5.972e+24,7.38e+22,1.9891e+30,6371000,1738000,696000000,0,-2000.305212708339,-2000.305212708339,-1.526404265864984
0.3,0,1e-06,0,0,0,1e-06,1,0.001,1,1e-10,0.0001,1,-1,3,0,0,0,1.490116119384766e-08,2,0,1e-10,3,100,10,10000000000,1e-10,1e-12,-1,10,0.0001,1,1,1,0,1,0,2.220446049250313e-14,1,0,1,59399.93155607495,59399.93155607495,-2000.457869923745,384400000,1499822700000000,6.672e-11,-1.526743457385284,75000,-0,2.77e-05,5.972e+24,7.38e+22,1.9891e+30,6371000,1738000,696000000,0,-2000.457869923745,-2000.457869923745,-1.526743457385284
0.4,0,1e-06,0,0,0,1e-06,1,0.001,1,1e-10,0.0001,1,-1,3,0,0,0,1.490116119384766e-08,2,0,1e-10,3,100,10,10000000000,1e-10,1e-12,-1,10,0.0001,1,1,1,0,1,0,2.220446049250313e-14,1,0,1,59199.87821115379,59199.87821115379,-2000.610561065193,384400000,1499822700000000,6.672e-11,-1.527082788075246,75000,-0,2.77e-05,5.972e+24,7.38e+22,1.9891e+30,6371000,1738000,696000000,0,-2000.610561065193,-2000.610561065193,-1.527082788075246
0.5,0,1e-06,0,0,0,1e-06,1,0.001,1,1e-10,0.0001,1,-1,3,0,0,0,1.490116119384766e-08,2,0,1e-10,3,100,10,10000000000,1e-10,1e-12,-1,10,0.0001,1,1,1,0,1,0,2.220446049250313e-14,1,0,1,58999.8095954386,58999.8095954386,-2000.763286146602,384400000,1499822700000000,6.672e-11,-1.527422258017021,75000,-0,2.77e-05,5.972e+24,7.38e+22,1.9891e+30,6371000,1738000,696000000,0,-2000.763286146602,-2000.763286146602,-1.527422258017021
0.6,0,1e-06,0,0,0,1e-06,1,0.001,1,1e-10,0.0001,1,-1,3,0,0,0,1.490116119384766e-08,2,0,1e-10,3,100,10,10000000000,1e-10,1e-12,-1,10,0.0001,1,1,1,0,1,0,2.220446049250313e-14,1,0,1,58799.72570553467,58799.72570553467,-2000.916045181902,384400000,1499822700000000,6.672e-11,-1.527761867292823,75000,-0,2.77e-05,5.972e+24,7.38e+22,1.9891e+30,6371000,1738000,696000000,0,-2000.916045181902,-2000.916045181902,-1.527761867292823
0.7,0,1e-06,0,0,0,1e-06,1,0.001,1,1e-10,0.0001,1,-1,3,0,0,0,1.490116119384766e-08,2,0,1e-10,3,100,10,10000000000,1e-10,1e-12,-1,10,0.0001,1,1,1,0,1,0,2.220446049250313e-14,1,0,1,58599.62653804592,58599.62653804592,-2001.06883818503,384400000,1499822700000000,6.672e-11,-1.528101615984929,75000,-0,2.77e-05,5.972e+24,7.38e+22,1.9891e+30,6371000,1738000,696000000,0,-2001.06883818503,-2001.06883818503,-1.528101615984929
0.7999999999999999,0,1e-06,0,0,0,1e-06,1,0.001,1,1e-10,0.0001,1,-1,3,0,0,0,1.490116119384766e-08,2,0,1e-10,3,100,10,10000000000,1e-10,1e-12,-1,10,0.0001,1,1,1,0,1,0,2.220446049250313e-14,1,0,1,58399.51208957485,58399.51208957485,-2001.221665169933,384400000,1499822700000000,6.672e-11,-1.52844150417568,75000,-0,2.77e-05,5.972e+24,7.38e+22,1.9891e+30,6371000,1738000,696000000,0,-2001.221665169933,-2001.221665169933,-1.52844150417568
0.8999999999999999,0,1e-06,0,0,0,1e-06,1,0.001,1,1e-10,0.0001,1,-1,3,0,0,0,1.490116119384766e-08,2,0,1e-10,3,100,10,10000000000,1e-10,1e-12,-1,10,0.0001,1,1,1,0,1,0,2.220446049250313e-14,1,0,1,58199.38235672264,58199.38235672264,-2001.374526150562,384400000,1499822700000000,6.672e-11,-1.52878153194748,75000,-0,2.77e-05,5.972e+24,7.38e+22,1.9891e+30,6371000,1738000,696000000,0,-2001.374526150562,-2001.374526150562,-1.52878153194748
